Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,Currency,"If ""Other,"" please indicate the currency here:","If your income needs additional context, please provide it here:",Work Country,State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
35-44,Computing or Tech,Senior Front End Web Developer,,110000,0,USD,,,United States of America,Oregon,Portland,21-30 years,11-20 years,College degree,Man,White
55-64,Law,Assistant General Counsel,,187000,10000,USD,,,United States of America,Florida,Miami,21-30 years,21-30 years,Master's degree,Woman,White
35-44,Health care,Director rehabilitation,OTR as dor at SNFs,94500,0,USD,,,United States of America,Florida,Fort Lauderdale,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Computing or Tech,Senior Marketing Manager,,130000,13000,USD,,"quarterly bonus, year end profit sharing",United States of America,Georgia,Atlanta,11-20 years,11-20 years,College degree,Woman,White
25-34,Retail,Senior product manager,,145000,50000,USD,,,United States of America,Arkansas,Bentonville,8-10 years,2-4 years,Master's degree,Woman,Asian or Asian American
25-34,Business or Consulting,Senior Consultant,"Procurement/Strategic Sourcing focused, but seems to fit into the generic consulting category based on actual work done",120000,8500,USD,,,United States of America,Illinois,Chicago,5-7 years,2-4 years,College degree,Woman,White
25-34,Computing or Tech,Mechanical Engineer,,142000,5000,USD,,,United States of America,California,San Francisco,2-4 years,2-4 years,Master's degree,Woman,Asian or Asian American
35-44,Engineering or Manufacturing,System Engineer Level 2,,70000,0,USD,,,United States of America,Virginia,Norfolk,8-10 years,2-4 years,College degree,Man,White
25-34,Marketing technology,Digital Marketing Team Lead,,71500,,USD,,,United States of America,California,Los Angeles,11-20 years,2-4 years,College degree,Non-binary,White
35-44,Media & Digital,Manager,,98000,3000,USD,,,United States of America,Georgia,Atlanta,11-20 years,11-20 years,College degree,Woman,White
25-34,Transport or Logistics,UX/UI Designer,"Aerospace, inflight entertainment",67000,100,USD,,,United States of America,California,Brea,8-10 years,2-4 years,College degree,Woman,Asian or Asian American
35-44,Education (Higher Education),Academic Coordinator,,59000,0,USD,,,United States of America,Massachusetts,Boston,11-20 years,1 year or less,College degree,Woman,White
35-44,Education (Higher Education),Digital Communications and Web Manager,,75499,,USD,,,United States of America,Massachusetts,Cambridge,8-10 years,8-10 years,Master's degree,Woman,"Asian or Asian American, White"
25-34,Government and Public Administration,Climate and Health Program Manager,,70000,0,USD,,,United States of America,Wisconsin,Madison,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Engineering or Manufacturing,Senior Software Engineer,,160000,0,USD,,,United States of America,Texas,Austin,11-20 years,11-20 years,College degree,Woman,White
35-44,Sales,National Sales Coordinator,Likely called Sales Assistant in other companies,480000,0,USD,,,United States of America,Ohio,Cleveland,11-20 years,8-10 years,Master's degree,Woman,White
45-54,Sales,Project Coordinator,,56160,500,USD,,,United States of America,Minnesota,Minneapolis,31-40 years,5-7 years,Some college,Woman,White
25-34,Retail,Software Engineer,,88580,8858,USD,,,United States of America,Minnesota,Richfield,8-10 years,2-4 years,College degree,Man,White
55-64,Education (Higher Education),Director,,130000,,USD,,,United States of America,Maryland,College Park,41 years or more,31-40 years,Master's degree,Woman,White
25-34,Business or Consulting,Solutions Architect,,120000,9000,USD,,,United States of America,Massachusetts,Boston,8-10 years,5-7 years,Some college,Woman,White
25-34,Nonprofits,Director of Finance & Operations,,50000,,USD,,,United States of America,California,San Diego,8-10 years,8-10 years,Master's degree,Woman,Asian or Asian American
35-44,Computing or Tech,Senior Engineering Program Manager,Manager of software development projects,180000,100000,USD,,Additional compensation includes value of vested restricted stock units and performance bonus.,United States of America,Washington,Redmond,21-30 years,21-30 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
25-34,Library,Library Technician I,,54000,,USD,,,United States of America,Connecticut,Manchester,8-10 years,5-7 years,Some college,Woman,White
35-44,Government and Public Administration,GIS Analyst,Geographic Information Systems,69000,0,USD,,,United States of America,Colorado,Denver,11-20 years,11-20 years,Master's degree,Woman,White
35-44,"Marketing, Advertising & PR",Senior Email Marketing Manager,,122000,20000,USD,,,United States of America,California,San Francisco,11-20 years,5-7 years,College degree,Woman,Asian or Asian American
25-34,Computing or Tech,Director of Operations,,180000,,USD,,,United States of America,California,Oakland,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Computing or Tech,Senior Technical Writer,,83000,8000,USD,,,United States of America,California,San Diego,8-10 years,5-7 years,College degree,Woman,White
45-54,Computing or Tech,Director,,200000,15000,USD,,,United States of America,Washington,Redmond,21-30 years,11-20 years,Master's degree,Woman,Black or African American
45-54,Business or Consulting,Ombudsman,,90000,,USD,,,United States of America,Connecticut,Milford,31-40 years,21-30 years,College degree,Woman,White
25-34,Computing or Tech,Senior Software engineer,,220000,31687,USD,,,United States of America,California,San Francisco,11-20 years,11-20 years,College degree,Man,White
25-34,Restaurant/Service,Sr Data Analyst,,107000,6000,USD,,"Part of my bonus is in stock, with the other half being a cash bonus half based on my performance and half based on company performance.",United States of America,Washington,Seattle,8-10 years,5-7 years,College degree,Woman,White
25-34,Media & Digital,Assistant Film Editor,,95000,25000,USD,,,United States of America,California,San Francisco,5-7 years,5-7 years,College degree,Man,White
35-44,Education (Primary/Secondary),Teacher,,91000,,USD,,,United States of America,Massachusetts,Boston,11-20 years,11-20 years,Master's degree,Woman,White
45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,,47255,0,USD,,,United States of America,Indiana,Lafayette,31-40 years,21-30 years,Some college,Woman,White
45-54,Government and Public Administration,Project Manager,,80000,0,USD,,,United States of America,Virginia,DC Metro Area,11-20 years,5-7 years,College degree,Woman,White
25-34,Computing or Tech,Senior Data Scientist,,150000,75000,USD,,"Additional income is in RSus, vesting over 4 years",United States of America,Illinois,Chicago,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Graphic Designer,,44500,,USD,,,United States of America,Illinois,Lake Forest,8-10 years,8-10 years,College degree,Woman,White
25-34,Retail,Receiving Associate,,31200,,USD,,,United States of America,Michigan,Plymouth,5-7 years,5-7 years,College degree,Woman,White
45-54,Education (Higher Education),director of educational development,help research professors be better teachers,115000,,USD,,,United States of America,California,Socal,21-30 years,11-20 years,PhD,Woman,White
25-34,Business or Consulting,Consultant II,Post-grad level consultant; sometimes called associate at peer firms,167000,43000,USD,,,United States of America,California,San Francisco,2-4 years,2-4 years,College degree,Woman,Asian or Asian American
45-54,Education (Primary/Secondary),Principal,,127000,,USD,,,United States of America,California,Modesto,21-30 years,21-30 years,PhD,Woman,White
35-44,Computing or Tech,Analyst/Technical Account Manager,,80000,5000,USD,,,United States of America,New York,New York,11-20 years,5-7 years,College degree,Woman,White
55-64,Public/Research Library,Metadata Specialist II,"This is a position that is equivalent to Librarian and requires a Masters degree in most cases, in library science",72000,0,USD,,"I have been in this union position for over twenty years and my pay reflects longevity increases, plus a small $500 annual bonus for having a second master's degree (in art history); for context newer employees in this same role might earn about $60,000.",United States of America,"Arizona, New York",New York,21-30 years,21-30 years,Master's degree,Woman,White
25-34,Utilities & Telecommunications,Compensation Analyst,,85000,13500,USD,,,United States of America,New Jersey,Morristown,2-4 years,1 year or less,Master's degree,Man,White
45-54,Computing or Tech,Technical writer,,50000,,USD,,"I recently changed careers, so this is entry level despite my age.",United States of America,Utah,Lehi,8-10 years,1 year or less,College degree,Woman,White
45-54,Health care,Contract Administrator,,75000,1250,USD,,,United States of America,Hawaii,Honolulu,11-20 years,5-7 years,Some college,Woman,"Asian or Asian American, Hispanic, Latino, or Spanish origin"
25-34,"Accounting, Banking & Finance",Security Engineer,,215000,1400000,USD,,"Equity increased after company IPO. Without increase, likely 280,000 us additional comp",United States of America,California,San Francisco,5-7 years,5-7 years,Some college,Man,White
18-24,Recruitment or HR,Recruiter,,54000,5400,USD,,,United States of America,California,San Francisco,2-4 years,2-4 years,College degree,Woman,Asian or Asian American
35-44,Government and Public Administration,Marketing & Outreach Coordinator,,69000,0,USD,,,United States of America,Florida,North Port,11-20 years,11-20 years,Master's degree,Woman,White
35-44,"Accounting, Banking & Finance",Accountant,Accountant in the federal government,69000,5000,USD,,,United States of America,Oregon,Portland,21-30 years,2-4 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,HR Generalist,,65000,,USD,,,United States of America,Missouri,Springfield,5-7 years,5-7 years,Master's degree,Woman,White
55-64,Education (Higher Education),Admin Asst to VP and Development,,39000,2000,USD,,,United States of America,Virginia,Bridgewater,31-40 years,11-20 years,College degree,Woman,White
45-54,"Marketing, Advertising & PR","Senior Manager, Marketing",,105000,2000,USD,,,United States of America,Utah,Lehi,11-20 years,8-10 years,College degree,Woman,White
25-34,Education (Primary/Secondary),School psychologist,,65500,0,USD,,,United States of America,District of Columbia,Washington,1 year or less,1 year or less,PhD,Woman,White
55-64,Retail,Visual Merchandising Manager,Military Retailer,67000,0,USD,,,United States of America,Virginia,Norfolk,31-40 years,21-30 years,Some college,Woman,White
55-64,Health care,Nurse Practitioner,,96000,,USD,,,United States of America,Massachusetts,Greenfield,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Nonprofits,strategist,strategic communications,70000,,USD,,,United States of America,New York,Syracuse,8-10 years,2-4 years,Master's degree,Woman,"Native American or Alaska Native, White"
35-44,Law,Paralegal,,65000,,USD,,,United States of America,California,Orange County Area,11-20 years,1 year or less,College degree,Woman,White
35-44,Computing or Tech,Backend Elixir Engineer,software development,120000,,USD,,,United States of America,Ohio,Columbus,11-20 years,2-4 years,Some college,Woman,White
25-34,Engineering or Manufacturing,Sr Mechanical Engineer,,100000,0,USD,,,United States of America,Massachusetts,Boston,8-10 years,8-10 years,College degree,Woman,White
18-24,Health care,Customer Service Representative,Medicare Customer Service Rep,44800,,USD,,,United States of America,Rhode Island,Providence,8-10 years,2-4 years,High School,Woman,White
35-44,Engineering or Manufacturing,engineer,,115000,1000,USD,,,United States of America,Alabama,Huntsville,11-20 years,11-20 years,College degree,Woman,White
35-44,Insurance,IT Team Lead,,88000,5000,USD,,,United States of America,New Hampshire,Concord,8-10 years,8-10 years,College degree,Man,White
25-34,Health care,Administrative Assistant,,56000,500,USD,,They also fund my HSA to more than half my deductible,United States of America,Washington,Seattle,11-20 years,1 year or less,College degree,Woman,White
25-34,Computing or Tech,Software Engineer,,135000,0,USD,,,United States of America,Oregon,Portland,5-7 years,2-4 years,Some college,Man,White
